# wheel sector station super_layer layer wire local_x local_y local_z global_x global_y global_z phi eta length
-2 1 1 1 1 1 -102.4000 0.0000 13.7000 417.4750 -63.2800 -533.3500 -0.1504 -1.0558 234.8000
-2 1 1 1 1 2 -98.2000 0.0000 13.7000 417.4750 -59.0800 -533.3500 -0.1406 -1.0569 234.8000
-2 1 1 1 1 3 -94.0000 0.0000 13.7000 417.4750 -54.8800 -533.3500 -0.1307 -1.0580 234.8000
-2 1 1 1 1 4 -89.8000 0.0000 13.7000 417.4750 -50.6800 -533.3500 -0.1208 -1.0589 234.8000
-2 1 1 1 1 5 -85.6000 0.0000 13.7000 417.4750 -46.4800 -533.3500 -0.1109 -1.0599 234.8000
-2 1 1 1 1 6 -81.4000 0.0000 13.7000 417.4750 -42.2800 -533.3500 -0.1009 -1.0607 234.8000
-2 1 1 1 1 7 -77.2000 0.0000 13.7000 417.4750 -38.0800 -533.3500 -0.0910 -1.0614 234.8000
-2 1 1 1 1 8 -73.0000 0.0000 13.7000 417.4750 -33.8800 -533.3500 -0.0810 -1.0621 234.8000
-2 1 1 1 1 9 -68.8000 0.0000 13.7000 417.4750 -29.6800 -533.3500 -0.0710 -1.0627 234.8000
-2 1 1 1 1 10 -64.6000 0.0000 13.7000 417.4750 -25.4800 -533.3500 -0.0610 -1.0632 234.8000
-2 1 1 1 1 11 -60.4000 0.0000 13.7000 417.4750 -21.2800 -533.3500 -0.0509 -1.0637 234.8000
-2 1 1 1 1 12 -56.2000 0.0000 13.7000 417.4750 -17.0800 -533.3500 -0.0409 -1.0640 234.8000
-2 1 1 1 1 13 -52.0000 0.0000 13.7000 417.4750 -12.8800 -533.3500 -0.0308 -1.0643 234.8000
-2 1 1 1 1 14 -47.8000 0.0000 13.7000 417.4750 -8.6800 -533.3500 -0.0208 -1.0645 234.8000
-2 1 1 1 1 15 -43.6000 0.0000 13.7000 417.4750 -4.4800 -533.3500 -0.0107 -1.0647 234.8000
-2 1 1 1 1 16 -39.4000 0.0000 13.7000 417.4750 -0.2800 -533.3500 -0.0007 -1.0647 234.8000
-2 1 1 1 1 17 -35.2000 0.0000 13.7000 417.4750 3.9200 -533.3500 0.0094 -1.0647 234.8000
-2 1 1 1 1 18 -31.0000 0.0000 13.7000 417.4750 8.1200 -533.3500 0.0194 -1.0645 234.8000
-2 1 1 1 1 19 -26.8000 0.0000 13.7000 417.4750 12.3200 -533.3500 0.0295 -1.0644 234.8000
-2 1 1 1 1 20 -22.6000 0.0000 13.7000 417.4750 16.5200 -533.3500 0.0396 -1.0641 234.8000
-2 1 1 1 1 21 -18.4000 0.0000 13.7000 417.4750 20.7200 -533.3500 0.0496 -1.0637 234.8000
-2 1 1 1 1 22 -14.2000 0.0000 13.7000 417.4750 24.9200 -533.3500 0.0596 -1.0633 234.8000
-2 1 1 1 1 23 -10.0000 0.0000 13.7000 417.4750 29.1200 -533.3500 0.0696 -1.0628 234.8000
-2 1 1 1 1 24 -5.8000 0.0000 13.7000 417.4750 33.3200 -533.3500 0.0796 -1.0622 234.8000
-2 1 1 1 1 25 -1.6000 0.0000 13.7000 417.4750 37.5200 -533.3500 0.0896 -1.0615 234.8000
-2 1 1 1 1 26 2.6000 0.0000 13.7000 417.4750 41.7200 -533.3500 0.0996 -1.0608 234.8000
-2 1 1 1 1 27 6.8000 0.0000 13.7000 417.4750 45.9200 -533.3500 0.1096 -1.0600 234.8000
-2 1 1 1 1 28 11.0000 0.0000 13.7000 417.4750 50.1200 -533.3500 0.1195 -1.0591 234.8000
-2 1 1 1 1 29 15.2000 0.0000 13.7000 417.4750 54.3200 -533.3500 0.1294 -1.0581 234.8000
-2 1 1 1 1 30 19.4000 0.0000 13.7000 417.4750 58.5200 -533.3500 0.1393 -1.0570 234.8000
-2 1 1 1 1 31 23.6000 0.0000 13.7000 417.4750 62.7200 -533.3500 0.1491 -1.0559 234.8000
-2 1 1 1 1 32 27.8000 0.0000 13.7000 417.4750 66.9200 -533.3500 0.1589 -1.0547 234.8000
-2 1 1 1 1 33 32.0000 0.0000 13.7000 417.4750 71.1200 -533.3500 0.1687 -1.0535 234.8000
-2 1 1 1 1 34 36.2000 0.0000 13.7000 417.4750 75.3200 -533.3500 0.1785 -1.0521 234.8000
-2 1 1 1 1 35 40.4000 0.0000 13.7000 417.4750 79.5200 -533.3500 0.1882 -1.0507 234.8000
-2 1 1 1 1 36 44.6000 0.0000 13.7000 417.4750 83.7200 -533.3500 0.1979 -1.0492 234.8000
-2 1 1 1 1 37 48.8000 0.0000 13.7000 417.4750 87.9200 -533.3500 0.2076 -1.0477 234.8000
-2 1 1 1 1 38 53.0000 0.0000 13.7000 417.4750 92.1200 -533.3500 0.2172 -1.0461 234.8000
-2 1 1 1 1 39 57.2000 0.0000 13.7000 417.4750 96.3200 -533.3500 0.2268 -1.0444 234.8000
-2 1 1 1 1 40 61.4000 0.0000 13.7000 417.4750 100.5200 -533.3500 0.2363 -1.0426 234.8000
-2 1 1 1 1 41 65.6000 0.0000 13.7000 417.4750 104.7200 -533.3500 0.2458 -1.0408 234.8000
-2 1 1 1 1 42 69.8000 0.0000 13.7000 417.4750 108.9200 -533.3500 0.2552 -1.0389 234.8000
-2 1 1 1 1 43 74.0000 0.0000 13.7000 417.4750 113.1200 -533.3500 0.2646 -1.0370 234.8000
-2 1 1 1 1 44 78.2000 0.0000 13.7000 417.4750 117.3200 -533.3500 0.2740 -1.0350 234.8000
-2 1 1 1 1 45 82.4000 0.0000 13.7000 417.4750 121.5200 -533.3500 0.2833 -1.0329 234.8000
-2 1 1 1 1 46 86.6000 0.0000 13.7000 417.4750 125.7200 -533.3500 0.2925 -1.0308 234.8000
-2 1 1 1 1 47 90.8000 0.0000 13.7000 417.4750 129.9200 -533.3500 0.3017 -1.0286 234.8000
-2 1 1 1 1 48 95.0000 0.0000 13.7000 417.4750 134.1200 -533.3500 0.3108 -1.0264 234.8000
-2 1 1 1 1 49 99.2000 0.0000 13.7000 417.4750 138.3200 -533.3500 0.3199 -1.0241 234.8000
-2 1 1 1 2 1 -104.5000 0.0000 12.4000 418.7750 -65.3800 -533.3500 -0.1549 -1.0528 234.8000
-2 1 1 1 2 2 -100.3000 0.0000 12.4000 418.7750 -61.1800 -533.3500 -0.1451 -1.0540 234.8000
-2 1 1 1 2 3 -96.1000 0.0000 12.4000 418.7750 -56.9800 -533.3500 -0.1352 -1.0550 234.8000
